mileage,make,model,fuel,gear,offerType,price,hp,year
42109,54,580,6,0,4,36880,220.0,2018
23123,37,258,6,0,4,36880,184.0,2018
10827,4,516,6,0,4,36900,310.0,2018
33000,4,516,6,0,4,36900,310.0,2018
10197,54,323,6,0,4,27480,245.0,2019
10,22,353,2,1,0,27670,120.0,2019
15243,54,323,6,0,4,27890,245.0,2019
15500,4,85,6,1,4,27940,150.0,2019
14900,20,315,1,0,4,27950,150.0,2019
26175,37,138,1,0,4,27990,194.0,2019
15000,53,186,4,0,4,27990,218.0,2019
14355,22,601,6,0,4,27991,177.0,2019
28458,46,577,6,0,4,28401,224.0,2019
34464,54,323,6,0,4,28450,245.0,2019
22422,54,580,6,0,4,28480,190.0,2019
5,28,440,6,0,0,28590,179.0,2019
28933,28,440,6,0,0,28690,238.0,2019
20302,20,315,1,1,4,28711,190.0,2019
17894,54,571,1,1,4,28718,114.0,2019
9900,4,86,1,0,4,28750,136.0,2019
8191,4,470,1,0,4,28850,150.0,2019
13399,54,580,1,1,4,28870,150.0,2019
10193,20,380,1,0,4,28950,179.0,2019
25929,20,380,1,0,4,28990,179.0,2019
17908,20,466,6,1,1,20750,125.0,2020
3437,20,272,1,1,4,20750,125.0,2020
4600,46,405,6,1,0,20780,140.0,2020
10,36,180,6,1,3,20790,122.0,2020
14700,47,388,6,0,1,20830,150.0,2020
9466,54,320,6,1,0,20900,131.0,2020
5962,41,241,6,0,4,20950,131.0,2020
7300,20,466,6,1,1,20950,125.0,2020
10,20,284,4,1,0,20950,125.0,2020
3800,46,405,6,1,0,20980,140.0,2020
3078,20,466,6,1,1,20999,125.0,2020
3352,20,272,1,1,4,21220,125.0,2020
10,22,353,4,0,0,21250,105.0,2020
2585,20,466,6,1,1,21298,125.0,2020
2248,20,286,4,1,4,21450,125.0,2020
29,20,466,6,0,4,21490,125.0,2020
18595,20,286,6,1,4,21490,150.0,2020
9306,20,466,6,1,1,21498,125.0,2020
10,22,665,6,0,0,21540,140.0,2020
6500,47,111,6,1,0,21550,116.0,2020
5,22,601,6,0,3,36870,179.0,2021
10,22,665,6,0,3,36990,280.0,2021
177000,46,405,1,1,4,3990,90.0,2011
177000,20,286,1,1,4,3999,109.0,2011
83223,43,14,6,1,4,3999,95.0,2011
69000,46,204,6,1,4,3999,75.0,2011
162300,41,110,6,1,4,3999,101.0,2011
144000,37,79,1,1,4,3999,109.0,2011
168000,22,665,1,1,4,3999,90.0,2011
181701,41,406,1,1,4,3999,110.0,2011
99800,47,348,6,1,4,4000,69.0,2011
145000,11,149,6,1,4,4000,73.0,2011
54071,22,662,6,1,4,4099,69.0,2011
176000,51,557,1,1,4,4200,75.0,2011
30500,43,14,6,1,4,4200,95.0,2011
62000,19,445,6,1,4,4200,69.0,2011
144134,22,665,1,1,4,4490,90.0,2012
130000,19,49,6,1,4,4490,69.0,2012
43000,22,662,6,1,4,4490,69.0,2012
79000,46,204,6,1,4,4490,75.0,2012
77709,40,407,6,1,4,4490,80.0,2012
110474,43,14,6,1,4,4499,95.0,2012
168000,43,29,1,1,4,4499,111.0,2012
79500,41,236,6,1,4,4499,69.0,2012
75000,20,284,6,1,4,4499,60.0,2012
90000,28,452,6,1,4,4499,69.0,2012
98789,41,236,6,1,4,4499,87.0,2012
90000,54,671,6,1,4,4500,60.0,2012
207000,41,207,1,1,4,4500,105.0,2012
153000,48,503,1,1,4,4500,75.0,2012
148000,41,110,1,1,4,4500,110.0,2012
65500,41,236,6,1,4,4500,69.0,2012
117000,54,671,6,1,4,4500,75.0,2012
167500,41,236,1,1,4,4500,131.0,2012
61700,46,602,6,1,4,4500,75.0,2012
97000,28,452,6,1,4,4990,69.0,2013
75000,39,547,6,1,4,4999,80.0,2013
155000,46,405,6,1,4,4999,116.0,2013
124600,48,283,6,1,4,4999,86.0,2013
109000,41,236,6,1,4,5150,87.0,2013
129073,28,495,6,1,4,5199,109.0,2013
77220,46,405,6,1,4,5200,101.0,2013
122500,19,445,6,0,4,5300,86.0,2013
74000,46,602,6,1,4,5300,75.0,2013
98000,47,408,6,1,4,5300,60.0,2013
96000,41,236,6,1,4,5300,69.0,2013
160000,9,242,6,1,4,5300,141.0,2013
197000,53,648,6,1,4,5300,99.0,2013
129000,40,429,1,1,4,5600,90.0,2014
108900,41,236,6,1,4,5650,87.0,2014
36000,48,283,6,1,4,5650,60.0,2014
50130,19,467,6,1,4,5680,69.0,2014
53196,57,661,6,0,4,5700,71.0,2014
125000,48,283,1,1,4,5700,75.0,2014
106700,48,283,1,1,4,5710,75.0,2014
90000,48,283,1,1,4,5750,75.0,2014
32000,41,236,6,1,4,5750,69.0,2014
33000,19,445,6,1,4,5750,69.0,2014
70400,47,348,6,1,4,5790,69.0,2014
63000,15,392,6,1,4,5790,75.0,2014
47765,41,236,6,1,4,5790,69.0,2014
45000,43,1,6,1,4,5799,82.0,2014
102900,20,284,6,1,4,5799,60.0,2014
97333,20,284,6,1,4,5800,125.0,2014
95000,47,99,6,1,4,5800,105.0,2014
95000,19,49,6,1,4,5800,69.0,2014
93651,54,671,6,1,4,5800,60.0,2014
55299,22,662,6,1,4,5944,67.0,2015
53800,54,671,6,1,4,5990,60.0,2015
53000,47,348,6,1,4,5990,69.0,2015
22600,43,1,6,1,4,5990,69.0,2015
125000,47,348,6,1,4,5990,86.0,2015
64000,48,201,6,1,4,5990,60.0,2015
55000,46,602,6,1,4,5990,71.0,2015
38000,54,671,6,1,4,5999,60.0,2015
91000,15,535,6,1,4,5999,90.0,2015
94751,43,15,6,1,4,5999,82.0,2015
32000,46,602,6,1,4,5999,71.0,2015
30000,39,547,6,1,4,5999,71.0,2015
85675,54,671,6,1,4,5999,60.0,2015
54500,20,284,6,1,4,6100,82.0,2015
43447,41,236,6,1,4,6100,69.0,2015
44849,57,661,6,1,4,6200,71.0,2015
50423,54,451,6,0,4,34822,334.0,2016
72072,54,451,6,0,4,34822,334.0,2016
52916,54,451,6,0,4,34822,334.0,2016
59950,54,451,6,0,4,34822,334.0,2016
44615,54,451,6,0,4,34822,334.0,2016
94250,54,451,6,0,4,34822,334.0,2016
86600,54,451,6,0,4,34822,334.0,2016
36409,54,451,6,0,4,35777,334.0,2016
108320,54,451,6,0,4,35877,334.0,2016
171000,41,655,1,0,4,3299,131.0,2016
152612,48,201,6,1,4,3799,60.0,2016
98280,15,392,6,1,4,4400,73.0,2016
137000,15,535,6,1,4,4490,73.0,2016
75419,41,110,1,1,4,13990,136.0,2018
24415,20,145,6,1,4,13990,101.0,2018
35000,22,377,6,1,4,14450,120.0,2018
150000,54,450,1,0,4,14510,150.0,2018
